,value,timeOffset,referenceTime
370,5.1,PT0H,2024-01-06T00:00:00.000Z
371,3.9,PT0H,2024-01-07T00:00:00.000Z
372,4.4,PT0H,2024-01-08T00:00:00.000Z
373,2.7,PT0H,2024-01-09T00:00:00.000Z
374,4.5,PT0H,2024-01-10T00:00:00.000Z
375,3.3,PT0H,2024-01-11T00:00:00.000Z
376,3.5,PT0H,2024-01-12T00:00:00.000Z
377,3.4,PT0H,2024-01-13T00:00:00.000Z
378,1.8,PT0H,2024-01-14T00:00:00.000Z
379,2.2,PT0H,2024-01-15T00:00:00.000Z
380,3.3,PT0H,2024-01-16T00:00:00.000Z
381,1.8,PT0H,2024-01-17T00:00:00.000Z
382,1.6,PT0H,2024-01-18T00:00:00.000Z
383,2.1,PT0H,2024-01-19T00:00:00.000Z
384,6.4,PT0H,2024-01-20T00:00:00.000Z
385,3.0,PT0H,2024-01-21T00:00:00.000Z
386,4.4,PT0H,2024-01-22T00:00:00.000Z
387,3.0,PT0H,2024-01-23T00:00:00.000Z
388,1.8,PT0H,2024-01-24T00:00:00.000Z
389,3.3,PT0H,2024-01-25T00:00:00.000Z
390,3.7,PT0H,2024-01-26T00:00:00.000Z
391,8.2,PT0H,2024-01-27T00:00:00.000Z
392,7.1,PT0H,2024-01-28T00:00:00.000Z
393,11.1,PT0H,2024-01-29T00:00:00.000Z
394,9.1,PT0H,2024-01-30T00:00:00.000Z
395,4.8,PT0H,2024-01-31T00:00:00.000Z
396,5.1,PT0H,2024-02-01T00:00:00.000Z
397,4.2,PT0H,2024-02-02T00:00:00.000Z
398,1.6,PT0H,2024-02-03T00:00:00.000Z
399,2.3,PT0H,2024-02-04T00:00:00.000Z
400,3.0,PT0H,2024-02-05T00:00:00.000Z
401,3.2,PT0H,2024-02-06T00:00:00.000Z
402,3.1,PT0H,2024-02-07T00:00:00.000Z
403,4.7,PT0H,2024-02-08T00:00:00.000Z
404,3.7,PT0H,2024-02-09T00:00:00.000Z
405,6.0,PT0H,2024-02-10T00:00:00.000Z
406,3.1,PT0H,2024-02-11T00:00:00.000Z
407,2.0,PT0H,2024-02-12T00:00:00.000Z
408,5.3,PT0H,2024-02-13T00:00:00.000Z
409,9.0,PT0H,2024-02-14T00:00:00.000Z
410,8.1,PT0H,2024-02-15T00:00:00.000Z
411,5.3,PT0H,2024-02-16T00:00:00.000Z
412,1.8,PT0H,2024-02-17T00:00:00.000Z
413,3.1,PT0H,2024-02-18T00:00:00.000Z
414,5.6,PT0H,2024-02-19T00:00:00.000Z
415,1.9,PT0H,2024-02-20T00:00:00.000Z
416,3.7,PT0H,2024-02-21T00:00:00.000Z
417,3.7,PT0H,2024-02-22T00:00:00.000Z
418,3.2,PT0H,2024-02-23T00:00:00.000Z
419,11.4,PT0H,2024-02-24T00:00:00.000Z
420,7.1,PT0H,2024-02-25T00:00:00.000Z
421,5.6,PT0H,2024-02-26T00:00:00.000Z
422,8.6,PT0H,2024-02-27T00:00:00.000Z
423,10.3,PT0H,2024-02-28T00:00:00.000Z
424,8.5,PT0H,2024-02-29T00:00:00.000Z
425,9.5,PT0H,2024-03-01T00:00:00.000Z
426,2.6,PT0H,2024-03-02T00:00:00.000Z
427,2.5,PT0H,2024-03-03T00:00:00.000Z
428,1.3,PT0H,2024-03-04T00:00:00.000Z
429,1.3,PT0H,2024-03-05T00:00:00.000Z
430,2.4,PT0H,2024-03-06T00:00:00.000Z
431,1.5,PT0H,2024-03-07T00:00:00.000Z
432,1.7,PT0H,2024-03-08T00:00:00.000Z
433,2.6,PT0H,2024-03-09T00:00:00.000Z
434,3.5,PT0H,2024-03-10T00:00:00.000Z
435,2.2,PT0H,2024-03-11T00:00:00.000Z
436,3.0,PT0H,2024-03-12T00:00:00.000Z
437,2.8,PT0H,2024-03-13T00:00:00.000Z
438,1.8,PT0H,2024-03-14T00:00:00.000Z
439,4.0,PT0H,2024-03-15T00:00:00.000Z
440,4.0,PT0H,2024-03-16T00:00:00.000Z
441,5.1,PT0H,2024-03-17T00:00:00.000Z
442,7.4,PT0H,2024-03-18T00:00:00.000Z
443,3.2,PT0H,2024-03-19T00:00:00.000Z
444,3.3,PT0H,2024-03-20T00:00:00.000Z
445,3.3,PT0H,2024-03-21T00:00:00.000Z
446,2.6,PT0H,2024-03-22T00:00:00.000Z
447,2.0,PT0H,2024-03-23T00:00:00.000Z
448,4.4,PT0H,2024-03-24T00:00:00.000Z
449,1.3,PT0H,2024-03-25T00:00:00.000Z
450,2.8,PT0H,2024-03-26T00:00:00.000Z
451,2.7,PT0H,2024-03-27T00:00:00.000Z
452,1.1,PT0H,2024-03-28T00:00:00.000Z
453,1.2,PT0H,2024-03-29T00:00:00.000Z
454,2.1,PT0H,2024-03-30T00:00:00.000Z
455,2.9,PT0H,2024-03-31T00:00:00.000Z
456,3.6,PT0H,2024-04-01T00:00:00.000Z
457,3.3,PT0H,2024-04-02T00:00:00.000Z
458,3.2,PT0H,2024-04-03T00:00:00.000Z
459,2.8,PT0H,2024-04-04T00:00:00.000Z
460,5.1,PT0H,2024-04-05T00:00:00.000Z
461,4.9,PT0H,2024-04-06T00:00:00.000Z
462,2.8,PT0H,2024-04-07T00:00:00.000Z
463,2.5,PT0H,2024-04-08T00:00:00.000Z
464,2.4,PT0H,2024-04-09T00:00:00.000Z
465,2.5,PT0H,2024-04-10T00:00:00.000Z
466,2.2,PT0H,2024-04-11T00:00:00.000Z
467,4.4,PT0H,2024-04-12T00:00:00.000Z
468,4.1,PT0H,2024-04-13T00:00:00.000Z
469,2.7,PT0H,2024-04-14T00:00:00.000Z
470,1.3,PT0H,2024-04-15T00:00:00.000Z
