Unnamed: 0,verdi,tidsforskyvning,referansetid
478,1.8,PT0H,2024-04-23 00:00:00+00:00
479,2.0,PT0H,2024-04-24 00:00:00+00:00
480,3.4,PT0H,2024-04-25 00:00:00+00:00
481,1.7,PT0H,2024-04-26 00:00:00+00:00
482,1.5,PT0H,2024-04-27 00:00:00+00:00
483,2.2,PT0H,2024-04-28 00:00:00+00:00
484,2.4,PT0H,2024-04-29 00:00:00+00:00
485,2.3,PT0H,2024-04-30 00:00:00+00:00
486,2.6,PT0H,2024-05-01 00:00:00+00:00
487,0.9,PT0H,2024-05-02 00:00:00+00:00
488,1.9,PT0H,2024-05-03 00:00:00+00:00
489,2.6,PT0H,2024-05-04 00:00:00+00:00
490,3.3,PT0H,2024-05-05 00:00:00+00:00
491,2.8,PT0H,2024-05-06 00:00:00+00:00
492,3.8,PT0H,2024-05-07 00:00:00+00:00
493,4.2,PT0H,2024-05-08 00:00:00+00:00
