verdi,tidsforskyvning,referansetid
0.0,PT6H,2024-09-07T00:00:00.000Z
0.4,PT18H,2024-09-08T00:00:00.000Z
0.4,PT6H,2024-09-08T00:00:00.000Z
9.2,PT18H,2024-09-09T00:00:00.000Z
0.1,PT6H,2024-09-09T00:00:00.000Z
7.1,PT18H,2024-09-10T00:00:00.000Z
10.7,PT6H,2024-09-10T00:00:00.000Z
6.6,PT18H,2024-09-11T00:00:00.000Z
12.1,PT6H,2024-09-11T00:00:00.000Z
0.1,PT18H,2024-09-12T00:00:00.000Z
0.1,PT6H,2024-09-12T00:00:00.000Z
0.0,PT18H,2024-09-13T00:00:00.000Z
0.0,PT6H,2024-09-13T00:00:00.000Z
0.0,PT18H,2024-09-14T00:00:00.000Z
0.0,PT6H,2024-09-14T00:00:00.000Z
0.0,PT18H,2024-09-15T00:00:00.000Z
0.0,PT6H,2024-09-15T00:00:00.000Z
9.0,PT18H,2024-09-16T00:00:00.000Z
1.3,PT6H,2024-09-16T00:00:00.000Z
0.0,PT18H,2024-09-17T00:00:00.000Z
7.7,PT6H,2024-09-17T00:00:00.000Z
0.0,PT18H,2024-09-18T00:00:00.000Z
0.0,PT6H,2024-09-18T00:00:00.000Z
0.0,PT18H,2024-09-19T00:00:00.000Z
0.0,PT6H,2024-09-19T00:00:00.000Z
0.0,PT18H,2024-09-20T00:00:00.000Z
0.0,PT6H,2024-09-20T00:00:00.000Z
0.0,PT18H,2024-09-21T00:00:00.000Z
0.0,PT6H,2024-09-21T00:00:00.000Z
2.8,PT18H,2024-09-22T00:00:00.000Z
1.0,PT6H,2024-09-22T00:00:00.000Z
0.2,PT18H,2024-09-23T00:00:00.000Z
1.8,PT6H,2024-09-23T00:00:00.000Z
